slope01,slope12,slope23,slope34,slope45,slope56,slope67
-17.58,0.0,21.98,-6.59,-26.37,-28.57,6.59
-17.58,0.0,21.98,-6.59,-26.37,-28.57,6.59
-17.58,0.0,21.98,-6.59,-26.37,-28.57,6.59
-17.58,0.0,21.98,-6.59,-26.37,-28.57,6.59
-17.58,0.0,21.98,-6.59,-26.37,-28.57,6.59
-17.58,0.0,21.98,-6.59,-26.37,-28.57,6.59
-17.58,0.0,21.98,-6.59,-26.37,-28.57,6.59
-17.58,0.0,21.98,-6.59,-26.37,-28.57,6.59
-17.58,0.0,21.98,-6.59,-26.37,-28.57,6.59
-17.58,0.0,21.98,-6.59,-26.37,-28.57,6.59
-17.58,0.0,21.98,-6.59,-26.37,-28.57,6.59
-17.58,0.0,21.98,-6.59,-26.37,-28.57,6.59
-17.58,0.0,21.98,-6.59,-26.37,-28.57,6.59
-17.58,0.0,21.98,-6.59,-26.37,-28.57,6.59
-17.58,0.0,21.98,-6.59,-26.37,-26.37,0.0
-17.58,0.0,21.98,-6.59,-26.37,-21.98,0.0
-17.58,0.0,21.98,-6.59,-26.37,-17.58,0.0
-17.58,0.0,21.98,-6.59,-26.37,-13.19,0.0
-17.58,0.0,21.98,-6.59,-26.37,-8.79,0.0
-17.58,0.0,21.98,-6.59,-26.37,0.0,0.0
-17.58,0.0,21.98,-6.59,-26.37,0.0,0.0
-17.58,0.0,21.98,-6.59,-21.98,0.0,0.0
-17.58,0.0,21.98,-6.59,-17.58,0.0,0.0
-17.58,0.0,19.78,-6.59,-13.19,0.0,0.0
0.0,-8.79,15.38,-6.59,-8.79,0.0,0.0
0.0,0.0,10.99,-6.59,0.0,0.0,0.0
0.0,0.0,6.59,-6.59,0.0,0.0,0.0
-21.98,0.0,0.0,0.0,0.0,0.0,0.0
-17.58,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-8.79,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
-13.19,-10.99,8.79,-8.79,0.0,0.0,0.0
-13.19,-6.59,0.0,0.0,0.0,0.0,0.0
-13.19,0.0,0.0,0.0,0.0,0.0,0.0
-10.99,0.0,0.0,0.0,0.0,0.0,0.0
-8.79,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
-8.79,8.79,-8.79,0.0,0.0,0.0,0.0
-8.79,0.0,0.0,0.0,0.0,0.0,0.0
-24.18,0.0,0.0,0.0,0.0,0.0,0.0
-19.78,0.0,0.0,0.0,0.0,0.0,0.0
-15.38,0.0,0.0,0.0,0.0,0.0,0.0
-10.99,0.0,0.0,0.0,0.0,0.0,0.0
-6.59,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-8.79,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-8.79,8.79,-8.79,0.0,10.99,-10.99
0.0,0.0,0.0,0.0,0.0,6.59,-6.59
0.0,-10.99,0.0,0.0,0.0,0.0,0.0
0.0,-10.99,0.0,0.0,0.0,0.0,0.0
0.0,-6.59,0.0,0.0,0.0,0.0,0.0
-6.59,6.59,-8.79,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
-10.99,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-8.79,0.0,0.0,0.0,0.0,0.0
0.0,0.0,8.79,-8.79,0.0,10.99,-10.99
6.59,-10.99,0.0,0.0,0.0,6.59,-6.59
0.0,0.0,-8.79,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-8.79,0.0,0.0,0.0
0.0,0.0,8.79,-8.79,0.0,0.0,0.0
8.79,0.0,0.0,-10.99,0.0,0.0,0.0
0.0,0.0,0.0,-6.59,0.0,0.0,0.0
6.59,-10.99,8.79,-8.79,0.0,0.0,0.0
6.59,-6.59,0.0,0.0,0.0,0.0,0.0
-6.59,0.0,10.99,-10.99,0.0,0.0,0.0
0.0,-8.79,6.59,0.0,-8.79,0.0,0.0
0.0,0.0,-6.59,6.59,-8.79,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
-10.99,0.0,8.79,-8.79,8.79,-8.79,8.79
-6.59,0.0,0.0,0.0,0.0,0.0,0.0
-10.99,0.0,8.79,-8.79,0.0,0.0,0.0
-6.59,0.0,8.79,-8.79,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
-13.19,-8.79,0.0,0.0,0.0,0.0,0.0
-13.19,0.0,0.0,0.0,0.0,0.0,8.79
-13.19,0.0,0.0,0.0,0.0,0.0,0.0
-10.99,0.0,0.0,0.0,0.0,0.0,0.0
-10.99,0.0,0.0,0.0,0.0,0.0,0.0
-6.59,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,8.79,-8.79,0.0,0.0,0.0
0.0,8.79,0.0,0.0,0.0,0.0,0.0
-13.19,0.0,0.0,0.0,0.0,0.0,0.0
-6.59,-10.99,8.79,-8.79,0.0,10.99,-10.99
-6.59,-6.59,0.0,0.0,0.0,6.59,-6.59
-6.59,0.0,0.0,0.0,0.0,0.0,0.0
-10.99,0.0,0.0,0.0,0.0,0.0,0.0
17.58,0.0,129.67,-39.56,-43.96,-15.38,21.98
13.19,26.37,87.91,-39.56,-43.96,-15.38,21.98
13.19,26.37,87.91,-39.56,-43.96,-15.38,21.98
13.19,26.37,87.91,-39.56,-43.96,-15.38,21.98
0.0,26.37,87.91,-39.56,-43.96,-15.38,21.98
0.0,26.37,87.91,-39.56,-43.96,-15.38,21.98
0.0,26.37,87.91,-39.56,-43.96,-15.38,21.98
0.0,26.37,87.91,-39.56,-43.96,-15.38,21.98
-8.79,13.19,-6.59,0.0,-15.38,-19.78,13.19
-6.59,-21.98,28.57,0.0,-6.59,-37.36,10.99
-6.59,-21.98,28.57,0.0,-6.59,-37.36,10.99
-6.59,-21.98,28.57,0.0,-6.59,-37.36,10.99
-6.59,-21.98,28.57,0.0,-6.59,-37.36,10.99
-6.59,-21.98,28.57,0.0,-6.59,-37.36,10.99
-6.59,-21.98,28.57,0.0,-6.59,-37.36,10.99
-6.59,-21.98,28.57,0.0,-6.59,-37.36,10.99
-6.59,-21.98,28.57,0.0,-6.59,-37.36,10.99
-6.59,-21.98,28.57,0.0,-6.59,-37.36,10.99
-6.59,-21.98,28.57,0.0,-6.59,-37.36,10.99
-6.59,-21.98,28.57,0.0,-6.59,-37.36,10.99
-6.59,-21.98,28.57,0.0,-6.59,-37.36,10.99
-6.59,-21.98,28.57,0.0,-6.59,-37.36,10.99
-6.59,-21.98,28.57,0.0,-6.59,-37.36,10.99
-6.59,-21.98,28.57,0.0,-6.59,-37.36,10.99
-6.59,-21.98,28.57,0.0,-6.59,-37.36,10.99
-6.59,-21.98,28.57,0.0,-6.59,-37.36,10.99
-6.59,-21.98,28.57,0.0,-6.59,-37.36,10.99
-6.59,-21.98,28.57,0.0,-6.59,-37.36,10.99
-6.59,-21.98,28.57,0.0,-6.59,-37.36,10.99
